variable_name,variable_description,data_type,units,frequency,source,source_link,access_on
DATE,"Date, in d-mmm-yyyy (e.g., 1-Jan-1980)",chr,-,-,International Monetary Fund - Primary Commodity Prices,https://www.imf.org/~/media/Files/Research/CommodityPrices/Monthly/Table3.ashx,17-Apr-20
BEEF_PRICE,"Beef, Australian and New Zealand 85% lean fores, CIF U.S. import price, US cents per pound",num,USD,Monthly,International Monetary Fund - Primary Commodity Prices,https://www.imf.org/~/media/Files/Research/CommodityPrices/Monthly/Table3.ashx,17-Apr-20
PORK_PRICE,"Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound.",num,USD,Monthly,International Monetary Fund - Primary Commodity Prices,https://www.imf.org/~/media/Files/Research/CommodityPrices/Monthly/Table3.ashx,17-Apr-20
POULTRY_PRICE,"Poultry (chicken), Whole bird spot price, Ready-to-cook, whole, iced, Georgia docks, US cents per pound",num,USD,Monthly,International Monetary Fund - Primary Commodity Prices,https://www.imf.org/~/media/Files/Research/CommodityPrices/Monthly/Table3.ashx,17-Apr-20
CORN_PRICE,"Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric ton",num,USD,Monthly,International Monetary Fund - Primary Commodity Prices,https://www.imf.org/~/media/Files/Research/CommodityPrices/Monthly/Table3.ashx,17-Apr-20
WHEAT_PRICE,"Wheat, No.1 Hard Red Winter, ordinary protein, Kansas City, US$ per metric ton",num,USD,Monthly,International Monetary Fund - Primary Commodity Prices,https://www.imf.org/~/media/Files/Research/CommodityPrices/Monthly/Table3.ashx,17-Apr-20
